File_Name,Type,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
001_h264_8K.mp4,mean,0.84272836,0.97979525,0.914851353,0.786079773,0.69696695,2.610486883,2.92952474,0.8141459,0.856486777,0.849783747,0.828610693,28.73686945,31.53803328,34.48144767,0.855754697,0.934457357,49.71390563,31.58545013,231.4793333,291.5908,161.0875667,61.4265,0.967005437,0.947195107,0.97068989
001_h264_8K.mp4,min,0.645739,0.969934,0.834435,0.532591,0.31379,0,0,0.707492,0.731356,0.710484,0.662003,17.467197,20.208191,24.658643,0.639527,0.851361,5.20485,21.50888567,0.04,0.04,0.02,0.03,0.916875,0.918008,0.960575
001_hevc_1K.mp4,max,0.99529,0.996249,0.993594,0.993767,0.996499,12.336063,13.361686,0.912599,0.991311,0.996012,0.997922,51.15697,47.351412,48.462785,0.998916,0.998378,97.369618,48.990389,877.09,1164.26,618.24,223.06,0.993867,0.98438,0.987279
001_hevc_1K.mp4,mean,0.817110187,0.964950847,0.86183572,0.76090312,0.761529137,2.45728791,2.778537823,0.600856787,0.68004139,0.68867656,0.68311472,28.78971191,31.90701092,34.72705432,0.86015898,0.84719901,37.69163147,31.80792572,230.6388667,290.9138333,159.2844,60.89326667,0.919565803,0.90571264,0.94337353
001_hevc_1K.mp4,min,0.581727,0.92246,0.677241,0.469369,0.418472,0,0,0.342017,0.380818,0.371724,0.343251,17.470297,20.219222,24.646618,0.652282,0.604258,0,21.51524267,0.69,0.5,1.2,0.93,0.814868,0.820271,0.892791
001_hevc_2K.mp4,max,0.982538,0.990147,0.975128,0.972904,0.988067,12.37239,13.395786,0.89497,0.978494,0.986794,0.991225,48.473703,48.086389,48.958638,0.998991,0.997878,92.777961,48.37937533,875.51,1161.23,619.75,223.25,0.993234,0.986312,0.988456
001_hevc_2K.mp4,mean,0.810017837,0.967055577,0.86444165,0.750499647,0.73394085,2.5019687,2.822814013,0.62946678,0.702284007,0.707842207,0.697497367,28.46716569,31.66304503,34.54258361,0.850307347,0.86482103,36.1016328,31.55759811,231.8936333,292.3958,160.5089333,61.27123333,0.933335767,0.913417417,0.949208523
001_hevc_2K.mp4,min,0.581435,0.934663,0.690764,0.453069,0.383611,0,0,0.403685,0.440558,0.42827,0.394078,17.481639,20.208628,24.64288,0.62852,0.663292,0,21.50672767,0.94,0.92,1.01,0.83,0.84843,0.848508,0.913696
001_hevc_480p.mp4,max,0.994983,0.994117,0.990964,0.993832,0.998435,12.201975,13.251658,0.920824,0.993173,0.995879,0.997775,50.618492,48.264932,49.142517,0.998199,0.999002,96.998645,49.29692033,877.51,1164.9,618.74,223.69,0.99477,0.990179,0.991076
001_hevc_480p.mp4,mean,0.818806037,0.950368763,0.84575952,0.790115437,0.782492353,2.3124753,2.63460023,0.53943449,0.628278987,0.646318743,0.654174767,28.83814493,32.57391894,35.17252325,0.85060483,0.804280677,39.44454192,32.19486237,230.1903667,290.6269667,158.2165,60.41643333,0.867033993,0.871607723,0.913887003
